gizmotronics	gizmotronics+N;SG
quenelle	quenelle+V;NFIN;IMP+SBJV
glumal	glumal+ADJ
piece	piece+N;SG
medial	medial+ADJ
cubicalness	cubicalness+N;SG
fagtard	fagtard+N;SG
deflorate	deflorate+ADJ
chalcid	chalcid+N;SG
milkshaked	milkshake+V;PST
tumefies	tumefy+V;PRS;3;SG
complicating	complicate+V;V.PTCP;PRS
countable	gel+N;PL
nantz	nantz+N;SG
telecopiers	telecopier+N;PL
romanizer	romanizer+N;SG
cauliferous	cauliferous+ADJ
normativizing	normativize+V;V.PTCP;PRS
morae	mora+N;PL
ferrocyanides	ferrocyanide+N;PL
millijoules	millijoule+N;PL
dyery	dyery+N;SG
decalesides	decaleside+N;PL
acreman	acreman+N;SG
partywear	partywear+N;SG
morphined	morphined+ADJ
platypelvic	platypelvic+ADJ
machineman	machineman+N;SG
cerebrovasodilation	cerebrovasodilation+N;SG
dimethylphenylpiperazinium	dimethylphenylpiperazinium+N;SG
antiparty	antiparty+ADJ
self-covered	self-covered+ADJ
scorereader	scorereader+N;SG
attempts	attempt+V;PRS;3;SG
brustle	brustle+V;NFIN;IMP+SBJV
hexosylceramides	hexosylceramide+N;PL
sabo	sabo+N;SG
tactilogram	tactilogram+N;SG
alt-left	alt-left+N;SG
beehouses	beehouse+N;PL
lumpenproletarians	lumpenproletarian+N;PL
antisecular	antisecular+ADJ
parfit	parfit+ADJ
operculum	operculum+N;SG
cookiecutters	cookiecutter+N;PL
hemolyse	hemolyse+V;NFIN;IMP+SBJV
wordsman	wordsman+N;SG
middleware	middleware+N;SG
atoxopy	atoxopy+N;SG
burnish	burnish+V;NFIN;IMP+SBJV
nonobservers	nonobserver+N;PL
churchkhelas	churchkhela+N;PL
guttiferones	guttiferone+N;PL
overburdens	overburden+N;PL
sacred	sacred+ADJ
halopemide	halopemide+N;SG
phosphoethanolamine	phosphoethanolamine+N;SG
unrecyclable	unrecyclable+ADJ
pursing	purse+V;V.PTCP;PRS
dissimuled	dissimule+V;V.PTCP;PST
keratomycosis	keratomycosis+N;SG
metapodium	metapodium+N;SG
mesomyarian	mesomyarian+N;SG
cartilage	cartilage+N;SG
fecundify	fecundify+V;NFIN;IMP+SBJV
predesignated	predesignate+V;PST
bopping	bop+V;V.PTCP;PRS
backpay	backpay+N;SG
incumbrancers	incumbrancer+N;PL
popodom	popodom+N;SG
bacteriochlorophyllide	bacteriochlorophyllide+N;SG
bolds	bold+N;PL
cuprammonium	cuprammonium+N;SG
acaults	acault+N;PL
short-chain	short-chain+ADJ
homalodotheriid	homalodotheriid+N;SG
organoscandium	organoscandium+ADJ
baby pink	baby pink+ADJ
cuneiform	cuneiform+N;SG
thalassocrats	thalassocrat+N;PL
fated	fate+V;PST
acoy	acoy+V;NFIN;IMP+SBJV
regiochemical	regiochemical+ADJ
pure	pure+ADJ
cozzie	cozzie+N;SG
unobtainability	unobtainability+N;SG
underpublished	underpublished+ADJ
homogenation	homogenation+N;SG
deromanticizing	deromanticize+V;V.PTCP;PRS
saltcellar	saltcellar+N;SG
lifeholds	lifehold+N;PL
churchwardenships	churchwardenship+N;PL
adzebills	adzebill+N;PL
multimericity	multimericity+N;SG
karaoke	karaoke+N;SG
eelblenny	eelblenny+N;SG
reinsurance	reinsurance+N;SG
monooxygenase	monooxygenase+N;SG
agitprops	agitprop+V;PRS;3;SG
gar	gar+V;NFIN;IMP+SBJV
socket	socket+N;SG
maud	maud+N;SG
knurr	knurr+N;SG
supplemented	supplement+V;PST
homester	homester+N;SG
libament	libament+N;SG
clsc	clsc+N;SG
jessed	jess+V;PST
fumigator	fumigator+N;SG
sequencing	sequencing+N;SG
bargain	bargain+N;SG
onychopathology	onychopathology+N;SG
cyberstructure	cyberstructure+N;SG
polymenorrhagia	polymenorrhagia+N;SG
decerebrizes	decerebrize+V;PRS;3;SG
conjectors	conjector+N;PL
marination	marination+N;SG
covernames	covername+N;PL
glycosylic	glycosylic+ADJ
meteoroid	meteoroid+N;SG
untame	untame+V;NFIN;IMP+SBJV
normal for norfolk	normal for norfolk+ADJ
classificator	classificator+N;SG
estrum	estrum+N;SG
graphy	graphy+N;SG
squame	squame+N;SG
gourmandising	gourmandise+V;V.PTCP;PRS
commoved	commoved+ADJ
palaeolandscape	palaeolandscape+N;SG
hemisolvate	hemisolvate+N;SG
nonwife	nonwife+N;SG
gentilicium	gentilicium+N;SG
gastrotoxic	gastrotoxic+ADJ
prairie	prairie+N;SG
tidley	tidley+N;SG
frilled	frilled+ADJ
dextranate	dextranate+V;NFIN;IMP+SBJV
glomming	glom+V;V.PTCP;PRS
nanosize	nanosize+ADJ
hypoventilating	hypoventilate+V;V.PTCP;PRS
bioprovince	bioprovince+N;SG
scomfit	scomfit+N;SG
unmurderous	unmurderous+ADJ
ecp	ecp+N;SG
tetraodontids	tetraodontid+N;PL
quitclaimed	quitclaim+V;PST
streamlined	streamlined+ADJ
arm-twisting	arm-twisting+N;SG
qaraqul	qaraqul+N;SG
varanoids	varanoid+N;PL
santomean	santomean+ADJ
bishopweed	bishopweed+N;SG
aggrievement	aggrievement+N;SG
præjudicate	præjudicate+ADJ
dation	dation+N;SG
swobbing	swob+V;V.PTCP;PRS
ozoning	ozone+V;V.PTCP;PRS
butskellism	butskellism+N;SG
litigationer	litigationer+N;SG
knish	knish+N;SG
uncropping	uncrop+V;V.PTCP;PRS
veeblefetzers	veeblefetzer+N;PL
eka-iodine	eka-iodine+N;SG
bob	bob+N;SG
palaeotectonic	palaeotectonic+ADJ
merogonial	merogonial+ADJ
pheresis	pheresis+N;SG
operationality	operationality+N;SG
isospectrality	isospectrality+N;SG
antifighting	antifighting+ADJ
rebuking	rebuke+V;V.PTCP;PRS
aquiculturists	aquiculturist+N;PL
circusing	circus+V;V.PTCP;PRS
megasamples	megasample+N;PL
stinty	stinty+ADJ
geosorbent	geosorbent+N;SG
wang	wang+V;NFIN;IMP+SBJV
antilepton	antilepton+N;SG
elaioplasts	elaioplast+N;PL
vesicula	vesicula+N;SG
shirk	shirk+V;NFIN;IMP+SBJV
polycarpellary	polycarpellary+ADJ
macrostems	macrostem+N;PL
deaggregate	deaggregate+V;NFIN;IMP+SBJV
aquabirnaviruses	aquabirnavirus+N;PL
sonothrombolytic	sonothrombolytic+ADJ
cream crackered	cream crackered+ADJ
compassionated	compassionate+V;PST
vagary	vagary+N;SG
skimboarders	skimboarder+N;PL
videogames	videogame+N;PL
yakkier	yakky+ADJ;CMPR
samlaw	samlaw+N;SG
radiochemotherapy	radiochemotherapy+N;SG
wrecked	wrecked+ADJ
embolization	embolization+N;SG
scenesetters	scenesetter+N;PL
enzymological	enzymological+ADJ
tipped	tip+V;PST
moralistics	moralistics+N;SG
sobersided	sobersided+ADJ
manitu	manitu+N;SG
anathematize	anathematize+V;NFIN;IMP+SBJV
cerebromas	cerebroma+N;PL
trended	trend+V;PST
multibump	multibump+ADJ
cyanometalates	cyanometalate+N;PL
fionid	fionid+N;SG
gravemarker	gravemarker+N;SG
cybernetics	cybernetics+N;SG
hellenian	hellenian+N;SG
cockcrowings	cockcrowing+N;PL
deoxyinosine	deoxyinosine+N;SG
unfixable	unfixable+ADJ
barb-wire	barb-wire+N;SG
homooligomerizing	homooligomerize+V;V.PTCP;PRS
desubjectify	desubjectify+V;NFIN;IMP+SBJV
attering	atter+V;V.PTCP;PRS
homofenazine	homofenazine+N;SG
strabotomy	strabotomy+N;SG
strains	strain+V;PRS;3;SG
sifacs	sifac+N;PL
negativize	negativize+V;NFIN;IMP+SBJV
lissomest	lissom+ADJ;SPRL
sermonical	sermonical+ADJ
selinenes	selinene+N;PL
electrolocators	electrolocator+N;PL
fluoroaromatics	fluoroaromatic+N;PL
technifications	technification+N;PL
guaraní	guaraní+N;SG
pirate	pirate+ADJ
flosslike	flosslike+ADJ
posthurricane	posthurricane+ADJ
bosniacization	bosniacization+N;SG
pregnability	pregnability+N;SG
goodgeons	goodgeon+N;PL
ginete	ginete+N;SG
percopsiform	percopsiform+N;SG
bred-in-the-bone	bred-in-the-bone+ADJ
crunch	crunch+V;NFIN;IMP+SBJV
chromocene	chromocene+N;SG
autoactivator	autoactivator+N;SG
ceratites	ceratite+N;PL
glycerophosphatase	glycerophosphatase+N;SG
v-word	v-word+N;SG
hypoenhance	hypoenhance+V;NFIN;IMP+SBJV
dandiyas	dandiya+N;PL
blobbier	blobby+ADJ;CMPR
hydatiform	hydatiform+ADJ
syllabist	syllabist+N;SG
greylist	greylist+V;NFIN;IMP+SBJV
bollixed	bollix+V;V.PTCP;PST
disgracing	disgrace+V;V.PTCP;PRS
whatshisname	whatshisname+N;SG
antimicrobiotics	antimicrobiotic+N;PL
agrized	agrize+V;V.PTCP;PST
abricock	abricock+N;SG
barcons	barcon+N;PL
quivertip	quivertip+N;SG
dumnonian	dumnonian+ADJ
bibation	bibation+N;SG
quaying	quay+V;V.PTCP;PRS
xerothermophilous	xerothermophilous+ADJ
binormativity	binormativity+N;SG
mismated	mismated+ADJ
sullying	sully+V;V.PTCP;PRS
tegengrenite	tegengrenite+N;SG
liquefacients	liquefacient+N;PL
ear-splitting	ear-splitting+ADJ
remanifestation	remanifestation+N;SG
neo-malthusian	neo-malthusian+ADJ
brahmaputra	brahmaputra+N;SG
throttlebottoms	throttlebottom+N;PL
symbiose	symbiose+V;NFIN;IMP+SBJV
mopier	mopy+ADJ;CMPR
scuzzes	scuzz+N;PL
upspread	upspread+V;NFIN;IMP+SBJV
nitrifiers	nitrifier+N;PL
smoochers	smoocher+N;PL
stigmate	stigmate+N;SG
refallen	refall+V;V.PTCP;PST
protease	protease+N;SG
disauthorising	disauthorise+V;V.PTCP;PRS
fukien	fukien+N;SG
sectile	sectile+ADJ
muscleheads	musclehead+N;PL
allyless	allyless+ADJ
topminnow	topminnow+N;SG
muadhin	muadhin+N;SG
fuets	fuet+N;PL
ashen	ashen+ADJ
huggles	huggle+N;PL
carbonate	carbonate+V;NFIN;IMP+SBJV
rapt	rapt+N;SG
gradualness	gradualness+N;SG
kevork	kevork+N;SG
phosphatizations	phosphatization+N;PL
famulus	famulus+N;SG
reissuances	reissuance+N;PL
vociferance	vociferance+N;SG
shuffling	shuffle+V;V.PTCP;PRS
railing	rail+V;V.PTCP;PRS
spatiokinematic	spatiokinematic+ADJ
overlapped	overlap+V;PST
algorithmist	algorithmist+N;SG
coal-meter	coal-meter+N;SG
apotransaminase	apotransaminase+N;SG
unionwide	unionwide+ADJ
laisses	laisse+N;PL
plug-and-pray	plug-and-pray+N;SG
abraded	abrade+V;V.PTCP;PST
cellubrevins	cellubrevin+N;PL
plasticky	plasticky+ADJ
dot	dot+V;NFIN;IMP+SBJV
starless	starless+ADJ
sosatie	sosatie+N;SG
deselectable	deselectable+ADJ
biohybrid	biohybrid+N;SG
lightpaths	lightpath+N;PL
shippiness	shippiness+N;SG
encyclopedism	encyclopedism+N;SG
uncompact	uncompact+V;NFIN;IMP+SBJV
transposease	transposease+N;SG
wonderous	wonderous+ADJ
overcompressing	overcompress+V;V.PTCP;PRS
tetracritical	tetracritical+ADJ
backswing	backswing+N;SG
brown	brown+ADJ
decylubiquinone	decylubiquinone+N;SG
benzoxadiazine	benzoxadiazine+N;SG
launches	launch+V;PRS;3;SG
father-fucker	father-fucker+N;SG
distiphallus	distiphallus+N;SG
heteroaldehydes	heteroaldehyde+N;PL
taskmasters	taskmaster+N;PL
mutined	mutine+V;PST
thermonatrite	thermonatrite+N;SG
reorder	reorder+V;NFIN;IMP+SBJV
detechnicalizing	detechnicalize+V;V.PTCP;PRS
reannounce	reannounce+V;NFIN;IMP+SBJV
musicker	musicker+N;SG
haloacetonitrile	haloacetonitrile+N;SG
hexaster	hexaster+N;SG
screenphone	screenphone+N;SG
nerdgasm	nerdgasm+N;SG
phtisicids	phtisicid+N;PL
doom	doom+N;SG
quotalike	quotalike+ADJ
restringents	restringent+N;PL
nanophosphors	nanophosphor+N;PL
nonsenior	nonsenior+N;SG
vain	vain+N;SG
unarguable	unarguable+ADJ
polybenzoxazines	polybenzoxazine+N;PL
bishop's-wort	bishop's-wort+N;SG
deshopping	deshopping+N;SG
spookhouses	spookhouse+N;PL
prepare	prepare+V;NFIN;IMP+SBJV
bimillenary	bimillenary+N;SG
morabitino	morabitino+N;SG
veigaiaid	veigaiaid+N;SG
superinfectors	superinfector+N;PL
deerstalkered	deerstalkered+ADJ
knoblessness	knoblessness+N;SG
piemaking	piemaking+N;SG
miniflap	miniflap+N;SG
nannies	nannie+N;PL
maoi	maoi+N;SG
duodecahydrate	duodecahydrate+N;SG
firstlings	firstling+N;PL
tradership	tradership+N;SG
vasculitis	vasculitis+N;SG
polarize	polarize+V;NFIN;IMP+SBJV
pinchcock	pinchcock+N;SG
andrological	andrological+ADJ
lgbt	lgbt+N;SG
bloodthirsters	bloodthirster+N;PL
arylindole	arylindole+N;SG
lack-laughter	lack-laughter+ADJ
coopeting	coopete+V;V.PTCP;PRS
dermatohistopathologists	dermatohistopathologist+N;PL
toolrooms	toolroom+N;PL
distogingival	distogingival+ADJ
culerage	culerage+N;SG
charm	charm+N;SG
strub	strub+V;NFIN;IMP+SBJV
baculitids	baculitid+N;PL
pericombobulation	pericombobulation+N;SG
otherness	otherness+N;SG
nanotrap	nanotrap+N;SG
decerebrize	decerebrize+V;NFIN;IMP+SBJV
unloader	unloader+N;SG
fearmonger	fearmonger+V;NFIN;IMP+SBJV
phosphonated	phosphonate+V;PST
uzaroside	uzaroside+N;SG
readvertised	readvertise+V;V.PTCP;PST
butter-slide	butter-slide+N;SG
laetmogonids	laetmogonid+N;PL
restrips	restrip+V;PRS;3;SG
contrition	contrition+N;SG
semiverticillate	semiverticillate+ADJ
cct	cct+N;SG
ogives	ogive+N;PL
spanished	spanish+V;PST
centroid	centroid+N;SG
fugled	fugle+V;PST
willower	willower+N;SG
chickenhearted	chickenhearted+ADJ
peitrels	peitrel+N;PL
minimarathon	minimarathon+N;SG
inswinger	inswinger+N;SG
asthenoteratozoospermic	asthenoteratozoospermic+ADJ
popeling	popeling+N;SG
mercuriall	mercuriall+ADJ
reeded	reed+V;PST
chronometer	chronometer+N;SG
interdentals	interdental+N;PL
unthrived	unthrive+V;V.PTCP;PST
trachichthyiform	trachichthyiform+N;SG
brickmolds	brickmold+N;PL
bulimy	bulimy+N;SG
tolls	toll+V;PRS;3;SG
iridic	iridic+ADJ
cosen	cosen+V;NFIN;IMP+SBJV
answered	answere+V;PST
yugo-nostalgia	yugo-nostalgia+N;SG
hominin	hominin+N;SG
diffusiophoresis	diffusiophoresis+N;SG
remythologizing	remythologize+V;V.PTCP;PRS
childhoodlike	childhoodlike+ADJ
haploproficiency	haploproficiency+N;SG
flumethasone	flumethasone+N;SG
acetylthiocholine	acetylthiocholine+N;SG
arbitrageur	arbitrageur+N;SG
whipstick	whipstick+N;SG
rad	rad+ADJ
lichenised	lichenised+ADJ
oleaceous	oleaceous+ADJ
mindists	mindist+N;PL
affordant	affordant+ADJ
monothelite	monothelite+N;SG
microtomes	microtome+V;PRS;3;SG
violin	violin+V;NFIN;IMP+SBJV
horsewhipped	horsewhip+V;PST
overanalysing	overanalyse+V;V.PTCP;PRS
memorability	memorability+N;SG
helveticin	helveticin+N;SG
sublimize	sublimize+V;NFIN;IMP+SBJV
paronomastical	paronomastical+ADJ
semuncial	semuncial+ADJ
parenthesizations	parenthesization+N;PL
crimsonness	crimsonness+N;SG
lymer	lymer+N;SG
zoophysiology	zoophysiology+N;SG
phosphindoles	phosphindole+N;PL
subfragmenting	subfragment+V;V.PTCP;PRS
soffi	soffi+N;SG
interdipole	interdipole+ADJ
mussitates	mussitate+V;PRS;3;SG
adonizing	adonize+V;V.PTCP;PRS
rebecame	rebecome+V;PST
colatures	colature+N;PL
rectangularized	rectangularized+ADJ
homophone	homophone+N;SG
skiddier	skiddy+ADJ;CMPR
compandor	compandor+N;SG
smartian	smartian+ADJ
foregoneness	foregoneness+N;SG
antirecession	antirecession+ADJ
flavorist	flavorist+N;SG
odorous	odorous+ADJ
schoolships	schoolship+N;PL
nonbreech	nonbreech+ADJ
parcs	parc+N;PL
propelargonidins	propelargonidin+N;PL
perfluoroaryl	perfluoroaryl+N;SG
areoids	areoid+N;PL
schoolhouses	schoolhouse+N;PL
yottaseconds	yottasecond+N;PL
gyves	gyve+V;PRS;3;SG
youthy	youthy+N;SG
intelligency	intelligency+N;SG
snobscats	snobscat+N;PL
slangwhangers	slangwhanger+N;PL
evacuating	evacuate+V;V.PTCP;PRS
protochelin	protochelin+N;SG
infortunate	infortunate+ADJ
noncentric	noncentric+ADJ
marcels	marcel+V;PRS;3;SG
poly(a)	poly(a)+N;SG
poleaxes	poleaxe+V;PRS;3;SG
chippers	chipper+N;PL
suprematist	suprematist+ADJ
skived	skive+V;V.PTCP;PST
megalopenises	megalopenis+N;PL
thromidioside	thromidioside+N;SG
outbleat	outbleat+V;NFIN;IMP+SBJV
skimboarded	skimboard+V;V.PTCP;PST
pentasomic	pentasomic+ADJ
authourship	authourship+N;SG
simun	simun+N;SG
amplitude	amplitude+N;SG
parkaed	parkaed+ADJ
hoodooism	hoodooism+N;SG
spindalis	spindalis+N;SG
brokered	broker+V;PST
gerrymanderism	gerrymanderism+N;SG
celloidin	celloidin+N;SG
supercompressing	supercompress+V;V.PTCP;PRS
filings	filing+N;PL
valkyrielike	valkyrielike+ADJ
hail	hail+N;SG
shoulder-blade	shoulder-blade+N;SG
prophylactical	prophylactical+ADJ
mad for it	mad for it+ADJ
squinting	squint+V;V.PTCP;PRS
postjudice	postjudice+N;SG
bn	bn+N;SG
sironids	sironid+N;PL
ooxanthine	ooxanthine+N;SG
nonanarchists	nonanarchist+N;PL
pukeworthy	pukeworthy+ADJ
oldified	oldify+V;PST
askancing	askance+V;V.PTCP;PRS
peniche	peniche+N;SG
disyllabified	disyllabify+V;V.PTCP;PST
padder	padder+N;SG
giraudite	giraudite+N;SG
muranid	muranid+N;SG
gweducs	gweduc+N;PL
archaist	archaist+N;SG
glomerulous	glomerulous+ADJ
butoxyethanol	butoxyethanol+N;SG
shtinkers	shtinker+N;PL
hypercarbia	hypercarbia+N;SG
archebiosis	archebiosis+N;SG
loudness	loudness+N;SG
henotheistic	henotheistic+ADJ
shariafication	shariafication+N;SG
suburbanise	suburbanise+V;NFIN;IMP+SBJV
aduances	aduance+V;PRS;3;SG
stichotrichous	stichotrichous+ADJ
latreilliid	latreilliid+N;SG
feliforms	feliform+N;PL
oxaluria	oxaluria+N;SG
peircean	peircean+ADJ
vivacious	vivacious+ADJ
sleepyhead	sleepyhead+N;SG
dauncers	dauncer+N;PL
recarbonisation	recarbonisation+N;SG
overpayment	overpayment+N;SG
nonimpulsive	nonimpulsive+ADJ
tamboos	tamboo+N;PL
polysyllabicism	polysyllabicism+N;SG
electronuclear	electronuclear+ADJ
panidrosis	panidrosis+N;SG
plumboferrite	plumboferrite+N;SG
exclusive	exclusive+ADJ
derdoing	derdoing+ADJ
shin-kicking	shin-kicking+N;SG
fibreises	fibreise+V;PRS;3;SG
creativizing	creativize+V;V.PTCP;PRS
endarterectomized	endarterectomize+V;V.PTCP;PST
snow-white	snow-white+N;SG
equal	equal+N;SG
sleep-drunk	sleep-drunk+ADJ
aphoriser	aphoriser+N;SG
teleconference	teleconference+V;NFIN;IMP+SBJV
keyword	keyword+V;NFIN;IMP+SBJV
bliny	bliny+N;SG
hyponasality	hyponasality+N;SG
basemap	basemap+N;SG
fibroids	fibroid+N;PL
prayer-monger	prayer-monger+N;SG
biofertilizes	biofertilize+V;PRS;3;SG
neuropeptidases	neuropeptidase+N;PL
flexisexuality	flexisexuality+N;SG
outredden	outredden+V;NFIN;IMP+SBJV
ancilla	ancilla+N;SG
reindustrialized	reindustrialize+V;V.PTCP;PST
refillable	refillable+N;SG
cotswold	cotswold+N;SG
parleyer	parleyer+N;SG
subtransects	subtransect+N;PL
ordain	ordain+V;NFIN;IMP+SBJV
paramutagenic	paramutagenic+ADJ
trendoids	trendoid+N;PL
betrodden	betread+V;V.PTCP;PST
hypothenusal	hypothenusal+ADJ
rerecorded	rerecord+V;V.PTCP;PST
stoloniferans	stoloniferan+N;PL
entomologising	entomologise+V;V.PTCP;PRS
depopulated	depopulate+V;PST
millihartree	millihartree+N;SG
putranjivaceous	putranjivaceous+ADJ
auth	auth+V;NFIN;IMP+SBJV
suntan	suntan+N;SG
swashed	swash+V;PST
superessentiality	superessentiality+N;SG
interleaved	interleave+V;PST
smear-case	smear-case+N;SG
pigeongrass	pigeongrass+N;SG
undrunken	undrunken+ADJ
wheel	wheel+N;SG
hoodie	hoodie+N;SG
undercompensations	undercompensation+N;PL
flybridges	flybridge+N;PL
slog	slog+N;SG
overdiversity	overdiversity+N;SG
parclos	parclo+N;PL
bridewains	bridewain+N;PL
reconsumed	reconsume+V;V.PTCP;PST
alkyltrimethylammonium	alkyltrimethylammonium+N;SG
navmeshes	navmesh+N;PL
counterscreen	counterscreen+V;NFIN;IMP+SBJV
birthroot	birthroot+N;SG
crossvines	crossvine+N;PL
savilian	savilian+N;SG
splenetic	splenetic+N;SG
corseleted	corseleted+ADJ
goyal	goyal+N;SG
zemindars	zemindar+N;PL
littorinids	littorinid+N;PL
astonished	astonished+ADJ
dehumidified	dehumidify+V;V.PTCP;PST
nonbanking	nonbanking+ADJ
prelaid	prelay+V;V.PTCP;PST
wasten	wasten+V;NFIN;IMP+SBJV
autographed	autograph+V;PST
derrières	derrière+N;PL
immanentised	immanentise+V;PST
nosy	nosy+N;SG
synovectomize	synovectomize+V;NFIN;IMP+SBJV
lithuanianness	lithuanianness+N;SG
guestlisted	guestlist+V;PST
degeiko	degeiko+N;SG
lemurine	lemurine+ADJ
alkatrienes	alkatriene+N;PL
lacunary	lacunary+ADJ
componentized	componentize+V;PST
rehinge	rehinge+V;NFIN;IMP+SBJV
gold-finder	gold-finder+N;SG
repealers	repealer+N;PL
unbegot	unbegot+ADJ
illustrated	illustrated+N;SG
archeus	archeus+N;SG
swelted	swelt+V;PST
maccabean	maccabean+ADJ
prize	prize+V;NFIN;IMP+SBJV
uncontributed	uncontributed+ADJ
crewed	crew+V;PST
chromoleucite	chromoleucite+N;SG
progymnosperm	progymnosperm+N;SG
burgs	burg+N;PL
kyack	kyack+N;SG
gelatinlike	gelatinlike+ADJ
antiviral	antiviral+N;SG
uglified	uglify+V;V.PTCP;PST
embleming	emblem+V;V.PTCP;PRS
foreignised	foreignise+V;V.PTCP;PST
broker than the ten commandments	broker than the ten commandments+ADJ
r99	r99+N;SG
pursuiter	pursuiter+N;SG
unfertilized	unfertilized+ADJ
meritocracy	meritocracy+N;SG
arahantship	arahantship+N;SG
consumable	consumable+N;SG
fertiloscopy	fertiloscopy+N;SG
anomaloscope	anomaloscope+N;SG
massé	massé+N;SG
uncoagulated	uncoagulated+ADJ
phospham	phospham+N;SG
palmelloid	palmelloid+ADJ
nonhypertextual	nonhypertextual+ADJ
benote	benote+V;NFIN;IMP+SBJV
trollopee	trollopee+N;SG
screech	screech+N;SG
consignifying	consignify+V;V.PTCP;PRS
epitranscriptomic	epitranscriptomic+ADJ
unionisation	unionisation+N;SG
titanosauroids	titanosauroid+N;PL
sidearmer	sidearmer+N;SG
uncapitalist	uncapitalist+ADJ
interlobate	interlobate+ADJ
cabbaling	cabbaling+N;SG
cephalographic	cephalographic+ADJ
reticulolysates	reticulolysate+N;PL
neddicky	neddicky+N;SG
effectual	effectual+ADJ
apokatastasis	apokatastasis+N;SG
tubbing	tub+V;V.PTCP;PRS
warmed-up	warmed-up+ADJ
devoutful	devoutful+ADJ
hierarchism	hierarchism+N;SG
